Context,Gloss,Label,Target Word
"She went to the bank to deposit her paycheck.","A financial institution where people keep money.","1","bank"
"She went to the bank to deposit her paycheck.","The land alongside or sloping down to a river or lake.","0","bank"
---
"The children played on the river bank all afternoon.","The land alongside or sloping down to a river or lake.","1","bank"
"The children played on the river bank all afternoon.","A financial institution where people keep money.","0","bank"
---
"He couldn't bear the pain any longer.","To tolerate or endure something difficult or unpleasant.","1","bear"
"He couldn't bear the pain any longer.","A large, heavy mammal with thick fur and a very short tail.","0","bear"
---
"The bear wandered through the forest looking for food.","A large, heavy mammal with thick fur and a very short tail.","1","bear"
"The bear wandered through the forest looking for food.","To tolerate or endure something difficult or unpleasant.","0","bear"
---
"The rock star wore a diamond-studded watch.","A celebrity in the music industry, especially known for rock music.","1","rock"
"The rock star wore a diamond-studded watch.","A hard, solid mineral material forming part of the surface of the earth.","0","rock"
---
"He slipped on a rock and twisted his ankle.","A hard, solid mineral material forming part of the surface of the earth.","1","rock"
"He slipped on a rock and twisted his ankle.","A celebrity in the music industry, especially known for rock music.","0","rock"
---
"She broke the lead of her pencil and had to sharpen it.","The graphite core of a pencil.","1","lead"
"She broke the lead of her pencil and had to sharpen it.","A position of advantage in a race or competition.","0","lead"
---
"He managed to take the lead in the final lap of the race.","A position of advantage in a race or competition.","1","lead"
"He managed to take the lead in the final lap of the race.","The graphite core of a pencil.","0","lead"
---
"The crane lifted the steel beam effortlessly.","A large, tall machine used for moving heavy objects.","1","crane"
"The crane lifted the steel beam effortlessly.","A tall, long-necked bird that lives near water.","0","crane"
---
"We spotted a crane standing by the edge of the lake.","A tall, long-necked bird that lives near water.","1","crane"
"We spotted a crane standing by the edge of the lake.","A large, tall machine used for moving heavy objects.","0","crane"

"The bat flew silently through the night sky.","A nocturnal flying mammal that has a body like a mouse and two large membranous wings.","1","bat"
"The bat flew silently through the night sky.","A club used for hitting a ball in certain sports, such as baseball.","0","bat"
---
"He swung the bat and hit a home run.","A club used for hitting a ball in certain sports, such as baseball.","1","bat"
"He swung the bat and hit a home run.","A nocturnal flying mammal that has a body like a mouse and two large membranous wings.","0","bat"
---
"She left her glasses on the table.","A device worn on the face to improve vision.","1","glasses"
"She left her glasses on the table.","Containers used for drinking liquids, typically made of glass.","0","glasses"
---
"We drank water from crystal glasses at the dinner.","Containers used for drinking liquids, typically made of glass.","1","glasses"
"We drank water from crystal glasses at the dinner.","A device worn on the face to improve vision.","0","glasses"
---
"The soldier had to desert his post under fire.","To leave a place or a duty without intending to return, especially in violation of a duty.","1","desert"
"The soldier had to desert his post under fire.","A dry, barren, sandy region with little or no vegetation.","0","desert"
---
"The camel crossed the hot desert slowly.","A dry, barren, sandy region with little or no vegetation.","1","desert"
"The camel crossed the hot desert slowly.","To leave a place or a duty without intending to return, especially in violation of a duty.","0","desert"
---
"The coach asked her to run a lap around the track.","A complete trip around a racecourse or track.","1","lap"
"The coach asked her to run a lap around the track.","The upper side of the thighs of a seated person.","0","lap"
---
"The toddler sat on her mother’s lap.","The upper side of the thighs of a seated person.","1","lap"
"The toddler sat on her mother’s lap.","A complete trip around a racecourse or track.","0","lap"
---
"He noticed a light change in her tone.","Something that is not heavy or intense.","1","light"
"He noticed a light change in her tone.","A form of electromagnetic radiation that makes things visible.","0","light"
---
"The light from the window brightened the room.","A form of electromagnetic radiation that makes things visible.","1","light"
